"Dominio.Aerador: Sauter Mean Diameter of Ar (mm)","Dominio.Aerador: Percent of Volume Fraction of Ar"
0.1927620415257466,3.961989501445648E-8
0.3784074124516814,7.755928076878784E-10
0.5640527833776162,9.541479029441488E-10
0.749698154303551,1.2807424602649394E-9
0.9353435252294858,1.9233654552602545E-9
1.1209888961554206,2.2490962551991514
1.3066342670813555,6.700054297748156
1.4922796380072902,5.949150186106035
1.6779250089332252,6.799999176860944
1.8635703798591599,10.798463214508573
2.0492157507850948,10.079383257145786
2.2348611217110292,7.507418849674252
2.4205064926369646,6.8513932351195574
2.606151863562899,6.635264050143076
2.7917972344888335,6.405577331052155
2.977442605414769,5.829683392329186
3.1630879763407034,5.673610074381099
3.3487333472666387,5.972486536993388
3.534378718192573,4.419673049880677
3.7200240891185077,3.3741672641385176
3.905669460044443,2.371628217677758
4.0913148309703775,1.2534088493294926
4.276960201896312,0.6608026797745353
4.462605572822247,0.3346107246729382
4.648250943748182,0.1341293127109752
