"Dominio.Aerador: Sauter Mean Diameter of Ar (mm)","Dominio.Aerador: Percent of Volume Fraction of Ar"
0.1944313446174953,3.5686636313678095E-8
0.3834097620150475,7.241786051256219E-10
0.5723881794125998,9.141279429544577E-10
0.7613665968101521,1.312761986366111E-9
0.9503450142077041,2.10440497182493E-9
1.1393234316052565,1.603547820029904
1.3283018490028087,5.643703990048332
1.5172802664003608,5.336942328769586
1.706258683797913,6.777867236563731
1.8952371011954652,11.156690409996656
2.0842155185930173,10.286893055283317
2.27319393599057,7.678821723071794
2.462172353388122,6.483221764670338
2.6511507707856747,6.583259819654708
2.8401291881832265,6.343104471801359
3.029107605580779,5.95851463605857
3.218086022978331,5.421632907450353
3.4070644403758834,6.221771350303317
3.596042857773435,5.261906880384226
3.7850212751709877,4.676149883715777
3.97399969256854,2.425582652602536
4.162978109966092,1.226528657535822
4.351956527363644,0.4793890741227988
4.540934944761197,0.3449800105453589
4.729913362158749,0.08949128664941441
