"Time","Percentual_Bolha_Flotavel Monitor: Percentual_Bolha_Flotavel Monitor"
0.001,100.0
0.0017142857142857142,0.009102561536870087
0.0034285714285714284,0.04013190961089769
0.005,0.06105510861212485
0.006714285714285714,0.04155915781175653
0.008285714285714287,0.01667598841743673
0.010000000000000002,0.010044887979665056
0.011571428571428575,0.0059516706606367155
0.013285714285714291,0.003599134327738614
0.014857142857142864,0.0028808940410255364
0.01657142857142858,0.002486342197157359
0.01814285714285715,0.0020862867019850774
0.01985714285714287,0.0019258372828479574
0.02142857142857144,0.0016011437087361388
0.023142857142857156,0.0015386815626810572
0.02471428571428573,0.001291864500143333
0.026428571428571444,0.00108162343836077
0.02814285714285716,0.0010492913352754107
0.029714285714285735,9.579073399893626E-4
0.03142857142857145,9.294480986945409E-4
0.03300000000000002,9.115234470625387E-4
0.03471428571428574,8.874903484864409E-4
0.03628571428571431,8.690220946135001E-4
0.03800000000000003,8.452422694725237E-4
0.0395714285714286,8.289635244866371E-4
0.041285714285714314,8.153349592486188E-4
0.042857142857142885,7.73678839920988E-4
0.0445714285714286,7.624086490058298E-4
0.04614285714285718,7.54489962200574E-4
0.04785714285714289,6.37591178089318E-4
0.04942857142857147,5.31318229753126E-4
0.051142857142857184,5.275558323738858E-4
0.052714285714285755,5.133091956005827E-4
0.05442857142857147,4.453178498272828E-4
0.05614285714285719,4.436162736284559E-4
0.05771428571428576,4.421569468650471E-4
0.059428571428571476,4.096540224477126E-4
0.06100000000000005,3.5031499523276285E-4
0.06271428571428576,3.4940523357540414E-4
0.06428571428571433,3.461642771055677E-4
0.06600000000000004,3.457044118523624E-4
0.06757142857142862,3.4514697225395584E-4
0.06928571428571434,3.4471208313967803E-4
0.07085714285714291,3.0182592808028003E-4
0.07257142857142862,2.5771476322229686E-4
0.07414285714285719,2.571078202027173E-4
0.07585714285714291,2.5650226323829827E-4
0.07742857142857149,2.558864138606694E-4
0.0791428571428572,2.550980538962925E-4
0.08085714285714292,2.546119555010105E-4
0.08242857142857149,2.541130130708056E-4
0.0841428571428572,2.5690579340377154E-4
0.08571428571428577,2.565256571466522E-4
0.0874285714285715,2.562861982551624E-4
0.08900000000000007,2.561581935689883E-4
0.09071428571428578,2.5596488100216756E-4
0.09228571428571436,2.5559433393091265E-4
0.09400000000000007,2.5549350465189707E-4
0.09557142857142864,2.547156706594779E-4
0.09728571428571436,2.545763886550386E-4
0.09885714285714294,2.5448401800721944E-4
