"SMD_Ar_Perto_Injetor Monitor: Physical Time (s)","SMD_Ar_Perto_Injetor Monitor: SMD_Ar_Perto_Injetor Monitor (um)"
0.001,640.3155791881118
0.002,820.6405517045042
0.003,915.3027422316495
0.004,937.2379467696177
0.005,949.894657993604
0.006,966.0783706254979
0.007,979.3104389194478
0.008,990.0435513947915
0.009000000000000001,998.7425427895679
0.010000000000000002,1005.8082302158837
0.011000000000000003,1011.5049922735185
0.012000000000000004,1016.0967753554162
0.013000000000000005,1019.8335688801012
0.014000000000000005,1022.90350721543
0.015000000000000006,1025.4547633395405
0.016000000000000007,1027.6016347504112
0.017000000000000008,1029.4426947674212
0.01800000000000001,1031.0611862814067
0.01900000000000001,1032.4374815065646
0.02000000000000001,1033.4995380961066
0.02100000000000001,1034.3495967978906
0.022000000000000013,1035.0511739815847
0.023000000000000013,1035.6345868494004
0.024000000000000014,1036.1165104000565
0.025000000000000015,1036.514868041832
0.026000000000000016,1036.8366652021498
0.027000000000000017,1037.0906317282547
0.028000000000000018,1037.286764657065
0.02900000000000002,1037.4345345680981
0.03000000000000002,1037.5408180681784
0.03100000000000002,1037.605448553628
0.03200000000000002,1037.6296958208538
0.03300000000000002,1037.6202568788726
0.03400000000000002,1037.5783658821665
0.035000000000000024,1037.50438173962
0.036000000000000025,1037.4037879999896
0.037000000000000026,1037.2842763107299
0.03800000000000003,1037.1515156694982
0.03900000000000003,1037.0094020606762
0.04000000000000003,1036.8604585333326
0.04100000000000003,1036.70550302124
0.04200000000000003,1036.5441488050224
0.04300000000000003,1036.37717288936
0.04400000000000003,1036.2067184580312
0.04500000000000003,1036.0348238557497
0.046000000000000034,1035.862973159405
0.047000000000000035,1035.6940280625502
0.048000000000000036,1035.5328700307648
0.04900000000000004,1035.3830329083808
0.05000000000000004,1035.2434504193236
0.05100000000000004,1035.1129773400826
0.05200000000000004,1034.9909670283755
0.05300000000000004,1034.8756371288764
0.05400000000000004,1034.7630574609432
0.05500000000000004,1034.6524415515976
0.05600000000000004,1034.545875082387
0.057000000000000044,1034.4465246037769
0.058000000000000045,1034.362332586426
0.059000000000000045,1034.2990190693872
0.060000000000000046,1034.2566923857519
0.06100000000000005,1034.233063973514
0.06200000000000005,1034.2266666003545
0.06300000000000004,1034.2347204634436
0.06400000000000004,1034.2544004723013
0.06500000000000004,1034.2848595905905
0.06600000000000004,1034.3260884184765
0.06700000000000005,1034.3783124636777
0.06800000000000005,1034.4421864166438
0.06900000000000005,1034.5184237364488
0.07000000000000005,1034.6068074531026
0.07100000000000005,1034.7073094169127
0.07200000000000005,1034.8196698703136
0.07300000000000005,1034.9435826755932
0.07400000000000005,1035.0790597597377
0.07500000000000005,1035.2256567458296
0.07600000000000005,1035.38233055958
0.07700000000000005,1035.547846319847
0.07800000000000006,1035.7208767503566
0.07900000000000006,1035.89958977751
0.08000000000000006,1036.0827621347285
0.08100000000000006,1036.2693082758778
0.08200000000000006,1036.4584447495542
0.08300000000000006,1036.6497358599258
0.08400000000000006,1036.8429487057206
0.08500000000000006,1037.037406388078
0.08600000000000006,1037.2329873315966
0.08700000000000006,1037.430651244708
0.08800000000000006,1037.6303366714242
0.08900000000000007,1037.8325174545469
0.09000000000000007,1038.037305580196
0.09100000000000007,1038.2445831917912
0.09200000000000007,1038.454801508476
0.09300000000000007,1038.6686336940306
0.09400000000000007,1038.886602362567
0.09500000000000007,1039.1090620865268
0.09600000000000007,1039.3364630828103
0.09700000000000007,1039.5691508555503
0.09800000000000007,1039.8072375100624
0.09900000000000007,1040.0497694373726
0.10000000000000007,1040.29647156863
0.10100000000000008,1040.5484655561909
0.10200000000000008,1040.8060997738892
0.10300000000000008,1041.0689379322123
0.10400000000000008,1041.3359076283361
0.10500000000000008,1041.606375276921
0.10600000000000008,1041.8801284487126
0.10700000000000008,1042.1579776696249
0.10800000000000008,1042.4399910087584
0.10900000000000008,1042.7261408922282
0.11000000000000008,1043.0159997051298
0.11100000000000008,1043.308907531889
0.11200000000000009,1043.6053008676038
0.11300000000000009,1043.9048785416667
0.11400000000000009,1044.2077557392543
0.11500000000000009,1044.5138564522954
0.11600000000000009,1044.8224890112251
0.11700000000000009,1045.134583172233
0.11800000000000009,1045.4481078559409
0.11900000000000009,1045.7649132832405
0.12000000000000009,1046.0836107057296
0.1210000000000001,1046.4049106403863
0.1220000000000001,1046.729820641849
0.1230000000000001,1047.0569109570479
0.1240000000000001,1047.3840954638774
0.12500000000000008,1047.7123048141746
0.12600000000000008,1048.042117988532
0.12700000000000009,1048.3755552515984
0.12800000000000009,1048.7118885689138
0.1290000000000001,1049.05219009137
0.1300000000000001,1049.39612113117
0.1310000000000001,1049.7449357859205
