N_estagios,pos_alimentacao,razao_refluxo,corte_pct,pressao,z_propeno,pureza_topo,recuperacao,Q_refervedor,R_sobre_Rmin,T_condensador
260,0.4362570044555701,8.408643657818436,99.72051540218969,17.52739549927972,0.6994335403127828,90.3591143465043,90.10657453918802,22.73036910416496,1.002253800301316,42.42004059579529
250,0.5713546113365329,17.95608972944319,97.79148679052913,20.76673783815838,0.8529428201429313,99.50582249765796,97.30822326360456,51.25938772634623,1.312453608119585,50.30553580316041
230,0.4567015541451052,17.9219482238926,99.48465535461131,18.60708931566961,0.7147585618466372,99.09006090430714,98.57940558132441,45.60578609119898,1.407528064938972,45.15407411576138
230,0.5284700608736835,12.77514322942123,99.71765768224498,20.06417208889313,0.8575798018727918,98.08447912571529,97.80754513399381,38.7546619697919,1.080717225536221,48.67259908984374
140,0.3154307821659371,20.87383944858983,99.63530816619576,17.15644008537941,0.670073156848806,97.33179399507625,96.97683289068104,50.95792388940728,1.778419314773297,41.45336113536348
220,0.4425843279291876,23.67090724333748,98.34932656771511,14.3009554352928,0.6005394252848345,99.79708703622234,98.14976303432121,53.77383228329832,1.906821214451348,33.46678053348757
120,0.6294371628565714,8.283379850484431,98.75873157454093,15.06024588580616,0.657770453591086,89.48477184189936,88.37402562343178,21.9280524668145,1.016112828997881,35.69357014772618
120,0.5177414328450336,20.40131642172113,99.4419700211773,15.25496234015934,0.8283066444915254,99.35529573334227,98.80086339760226,63.85487045557296,1.833920035798741,36.2517046162655
210,0.5577956650737672,16.68154044958949,98.32798616919517,16.98995027035289,0.7962853935243096,99.52208960194659,97.85806649909607,48.46746139805229,1.391017060393839,41.01470580345699
200,0.5353902940949424,20.97997260412574,98.49098128325329,19.42744408622757,0.8051510788647691,99.57932930946318,98.07665859217252,58.10127984600548,1.60513282760207,47.15782261175121
210,0.4125959319006651,19.02492464777827,99.2393161398445,14.47181732760742,0.7748845843124204,99.64748517066816,98.88948283392405,56.63945045584973,1.695433355146547,33.97508287402184
