Run,N_estagios,pos_alimentacao,razao_refluxo,corte_pct,pressao,z_propeno,F_alimentacao,pureza_topo,pureza_fundo,recuperacao,grau_produto,Q_refervedor,Q_condensador,T_condensador,T_refervedor,precisa_refrig,diametro,altura_total,n_cascos,alfa_topo,alfa_fundo,N_min,R_min,R_sobre_Rmin,CAPEX,CAPEX_anual,OPEX,custo_total,lucro,convergiu,Solved
1,130,0.5823439330961555,13.88752434708178,97.43778151748376,15.44693087618798,0.7138742443481461,1000,97.84145961423717,89.05925507632945,95.33454765243751,1,37.37099323603822,37.37099323603822,36.79702997812768,45.10407073615465,1,4.232491294287719,95.2,2,1.08510279128255,1.177873956036967,48.17494866207546,11.00954808073493,1.261407302574288,28.50194937631747,3.74725893315714,13.73259431446951,17.47985324762665,8.028896631633055,1,1
2,220,0.6765975570380687,21.86755865596235,99.00954771970679,14.18681473769248,0.6709754083701409,1000,99.97172854119827,97.9642204616901,98.98155627621342,2,56.18778779157583,56.18778779157583,33.12480248509553,41.34425570747959,1,5.196399471801443,158.8,3,1.086666052474604,1.189615364685497,93.82494564932219,11.82192368692477,1.849746220249095,49.13081209702491,6.459413427939659,20.6471390871444,27.10655251508406,38.68783465216535,1,1
3,260,0.6492788783479482,15.00660524792969,99.46135697999877,18.33560979884118,0.6740778090222739,1000,99.07585679094551,97.0181545952004,98.54219160383467,1,36.57479111340091,36.57479111340091,44.47734471374037,52.95791312635038,0,4.196607036589918,187,4,1.073840482931326,1.174885024770004,70.19550217414277,12.88223321207257,1.164907124477941,45.02788473942489,5.919986071941458,10.12195152466332,16.04193759660478,5.896434721911833,1,1
4,110,0.3854461514577269,12.90474135972559,97.81981987051712,18.17938429497183,0.6792292522033676,1000,93.46109218289426,82.6406725352895,91.42347202232511,1,31.58561854800714,31.58561854800714,44.08471883343174,52.55673290032638,0,3.898757866333761,81.39999999999999,2,1.081358944075542,1.16302760945933,36.81776615395092,10.29998079780013,1.252889846404547,25.4600660901767,3.347331048677641,8.741214647765817,12.08854569644346,9.295808743201267,1,1
5,130,0.6095447049327194,12.63848401546478,98.79821834526211,17.26005696814507,0.8551086382842623,1000,98.11439954551572,83.11074869603515,96.93527869112148,1,40.12310274467089,40.12310274467089,41.72484945006164,50.14472953600142,0,4.38835116448119,95.2,2,1.078663532287666,1.166540598050154,48.26996566027903,10.67512553442479,1.183919006358157,34.83279889822192,4.579599630707532,11.10393494091186,15.68353457161939,30.38486028386745,1,1
6,160,0.5714227192029357,20.03547834612429,98.16859428539173,16.37250831477344,0.7425732437116094,1000,99.53057774722993,93.7196151848548,97.70776905858452,2,54.34282441792671,54.34282441792671,39.3609068241455,47.72732744125818,1,5.103775710237,116.8,2,1.079870821087903,1.178738657505237,66.80521747243733,11.95545881407124,1.67584353371224,39.13128718104614,5.144738120156547,19.96917654610747,25.11391466626401,54.00028825701626,1,1
7,250,0.6127037442047149,16.81483586393297,99.60670793341939,15.41405690919608,0.6206757885217666,1000,99.74634668736704,98.94981505885302,99.35405221914164,2,39.7720022489534,39.7720022489534,36.70398764650383,45.00884613957959,1,4.366402345486136,179.8,3,1.082822605900034,1.186293692440501,84.02437131060874,12.55106948930472,1.339713390819928,43.30705129310014,5.69374159935903,14.61488509308208,20.30862669244111,36.02612412150347,1,1
8,200,0.4995498819742351,22.90857534207404,98.62801929501025,15.22933598373085,0.7769110704353079,1000,99.86520431621146,94.99805575766803,98.49507298199444,2,66.39500650876536,66.39500650876536,36.17853968326131,44.47103802006495,1,5.642165679854958,145,3,1.083294197425891,1.1836549273556,76.84088918758667,11.59692356635418,1.975401080381182,51.41412643386659,6.75960938762532,24.39795172508764,31.15756111271297,55.57407427898588,1,1
9,140,0.4234490999765694,8.395330242738128,97.57249800793221,14.65355992298573,0.865513113310095,1000,96.33595412345004,66.58891272530143,93.99739691802577,1,29.08052700425572,29.08052700425572,34.5110826577594,42.76395191941236,1,3.7359525375464,102.4,2,1.089650695254634,1.159849427493351,33.81565932274774,7.996711356492515,1.049847852257663,25.52747821340893,3.35619397512698,10.68612432316384,14.04231829829082,32.11239979045537,1,1
10,150,0.3235383564066142,21.54411699473858,98.41696312800656,14.00524970315397,0.8009960407633334,1000,99.18413729133427,90.97161959215646,97.61401582684385,1,65.96409994505409,65.96409994505409,32.5767460911145,40.78287090054943,1,5.632099872274781,109.6,2,1.08826744867249,1.184367776990781,56.03445753815185,10.69250908412428,2.014879466104568,42.29984851115879,5.561320845525733,24.23960792647588,29.80092877200161,8.420940485941484,1,1
11,100,0.6850983872618526,23.4556096740067,97.26114302873798,17.08324296351522,0.6002089052391238,1000,98.38043243475279,93.77906054442803,95.68593310265582,1,49.88866456224294,49.88866456224294,41.26087829269585,49.67036344847907,0,4.892452603460303,74.2,2,1.078924818699998,1.176398477936032,57.20684399617883,12.84284848910807,1.826355710253783,37.4240189731261,4.920277120701565,13.80652162205219,18.72679874275376,-8.677670600126877,1,1
12,200,0.692887545324862,17.38258100815117,98.28172989364947,21.31200373265892,0.665170162900351,1000,98.58374461470919,94.0252691838206,96.8898096012737,1,38.51222569869265,38.51222569869265,51.54652465553841,60.17528626117922,0,4.344725269374653,145,3,1.064448566255523,1.162384138874188,65.73908899069436,13.98488428702542,1.242954939875905,35.66399095094457,4.688879589197747,10.65813008802753,15.34700967722527,4.33278159555145,1,1
