"Dominio.Aerador: Sauter Mean Diameter of Ar (mm)","Dominio.Aerador: Percent of Volume Fraction of Ar"
0.1822028650118442,3.597290843008729E-8
0.3474137254431631,3.7520132824622633E-10
0.512624585874482,4.282342504578808E-10
0.677835446305801,5.246763489358632E-10
0.8430463067371199,6.853946358593491E-10
1.0082571671684388,1.143155196151474E-9
1.1734680275997578,6.148825787957515E-7
1.3386788880310765,0.07588263253273073
1.5038897484623956,4.902691920621142
1.6691006088937144,6.594375698407778
1.8343114693250335,12.995482021442776
1.9995223297563522,12.40312857104515
2.164733190187671,13.530009883812554
2.32994405061899,7.617968087543826
2.495154911050309,5.256860816890903
2.6603657714816276,6.539666865388982
2.8255766319129467,6.969232042591462
2.9907874923442654,6.448710524793604
3.155998352775584,7.541056425299926
3.3212092132069033,4.555315852728198
3.4864200736382225,2.308419979370251
3.651630934069541,1.1832762863723743
3.81684179450086,0.5995594961279055
3.982052654932179,0.22263468694699678
4.147263515363498,0.25572755407129494
